0.301,0.468,0.395,0.195,0
0.303,0.464,0.393,0.193,0
0.305,0.46,0.391,0.191,0
0.309,0.456,0.387,0.187,0
0.313,0.452,0.383,0.183,0
0.318,0.448,0.378,0.178,0
0.324,0.444,0.372,0.172,0
0.33,0.44,0.366,0.166,0
0.338,0.436,0.358,0.158,0
0.346,0.432,0.35,0.15,0
0.355,0.428,0.341,0.141,0
0.365,0.424,0.331,0.131,0
0.375,0.42,0.321,0.121,0
0.387,0.416,0.309,0.109,0
0.399,0.412,0.297,0.097,0
0.412,0.408,0.284,0.084,0
0.426,0.404,0.27,0.07,0
0.44,0.4,0.256,0.056,0
0.456,0.396,0.24,0.04,0
0.472,0.392,0.224,0.024,0
0.489,0.388,0.207,0.007,0
0.507,0.384,0.189,-0.011,0
0.51,0.38,0.186,-0.014,1
0.498,0.376,0.198,-0.002,1
0.486,0.372,0.21,0.01,1
0.474,0.368,0.222,0.022,1
0.462,0.364,0.234,0.034,1
0.45,0.36,0.246,0.046,1
0.438,0.356,0.258,0.058,0
0.427,0.352,0.269,0.069,0
0.417,0.348,0.279,0.079,0
0.407,0.344,0.289,0.089,0
0.399,0.34,0.297,0.097,0
0.391,0.336,0.305,0.105,0
0.384,0.332,0.312,0.112,0
0.378,0.328,0.318,0.118,0
0.372,0.324,0.324,0.124,0
0.368,0.32,0.328,0.128,0
0.364,0.316,0.332,0.132,0
0.361,0.312,0.335,0.135,0
0.359,0.308,0.337,0.137,0
0.357,0.304,0.339,0.139,0
0.357,0.3,0.339,0.139,0
0.357,0.296,0.339,0.139,0
0.358,0.292,0.338,0.138,0
0.36,0.288,0.336,0.136,0
0.362,0.284,0.334,0.134,0
0.366,0.28,0.33,0.13,0
0.37,0.276,0.326,0.126,0
0.375,0.272,0.321,0.121,0
0.381,0.268,0.315,0.115,0
0.387,0.264,0.309,0.109,0
0.395,0.26,0.301,0.101,0
0.403,0.256,0.293,0.093,0
0.412,0.252,0.284,0.084,0
0.422,0.248,0.274,0.074,0
0.432,0.244,0.264,0.064,0
0.444,0.24,0.252,0.052,0
0.456,0.236,0.24,0.04,0
0.469,0.232,0.227,0.027,0
0.483,0.228,0.213,0.013,0
0.497,0.224,0.199,-0.001,0
0.513,0.22,0.183,-0.017,0
0.529,0.216,0.167,-0.033,0
0.546,0.212,0.15,-0.05,0
0.564,0.208,0.132,-0.068,0
0.582,0.204,0.114,-0.086,0
0.602,0.2,0.094,-0.106,0
0.622,0.196,0.074,-0.126,0
0.643,0.192,0.053,-0.147,0
0.665,0.188,0.031,-0.169,0
0.687,0.184,0.009,-0.191,0
0.693,0.18,0.003,-0.197,1
0.681,0.176,0.015,-0.185,1
0.669,0.172,0.027,-0.173,1
0.657,0.168,0.039,-0.161,1
0.645,0.164,0.051,-0.149,1
0.633,0.16,0.063,-0.137,1
0.621,0.156,0.075,-0.125,0
0.61,0.152,0.086,-0.114,0
0.6,0.148,0.096,-0.104,0
0.59,0.144,0.106,-0.094,0
0.582,0.14,0.114,-0.086,0
0.574,0.136,0.122,-0.078,0
0.567,0.132,0.129,-0.071,0
0.561,0.128,0.135,-0.065,0
0.555,0.124,0.141,-0.059,0
0.551,0.12,0.145,-0.055,0
0.547,0.116,0.149,-0.051,0
0.544,0.112,0.152,-0.048,0
0.542,0.108,0.154,-0.046,0
0.54,0.104,0.156,-0.044,0
0.54,0.1,0.156,-0.044,0
0.54,0.096,0.156,-0.044,0
0.541,0.092,0.155,-0.045,0
0.543,0.088,0.153,-0.047,0
0.545,0.084,0.151,-0.049,0
0.549,0.08,0.147,-0.053,0
0.553,0.076,0.143,-0.057,0
0.558,0.072,0.138,-0.062,0
0.564,0.068,0.132,-0.068,0
0.57,0.064,0.126,-0.074,0
0.578,0.06,0.118,-0.082,0
0.586,0.056,0.11,-0.09,0
0.595,0.052,0.101,-0.099,0
0.605,0.048,0.091,-0.109,0
0.615,0.044,0.081,-0.119,0
0.627,0.04,0.069,-0.131,0
0.639,0.036,0.057,-0.143,0
0.652,0.032,0.044,-0.156,0
0.653,0.028,0.043,-0.157,1
0.641,0.024,0.055,-0.145,1
0.629,0.02,0.067,-0.133,1
0.617,0.016,0.079,-0.121,1
0.605,0.012,0.091,-0.109,0
0.594,0.008,0.102,-0.098,0
0.584,0.004,0.112,-0.088,0
0.574,0.382,-0.312,-0.512,0
0.566,0.378,-0.304,-0.504,0
0.558,0.374,-0.296,-0.496,0
0.551,0.37,-0.289,-0.489,0
0.545,0.366,-0.283,-0.483,0
0.539,0.362,-0.277,-0.477,0
0.535,0.358,-0.273,-0.473,0
0.531,0.354,-0.269,-0.469,0
0.528,0.35,-0.266,-0.466,0
0.526,0.346,-0.264,-0.464,0
0.524,0.342,-0.262,-0.462,0
0.524,0.338,-0.262,-0.462,0
0.524,0.334,-0.262,-0.462,0
0.525,0.33,-0.263,-0.463,0
0.527,0.326,-0.265,-0.465,0
0.529,0.322,-0.267,-0.467,0
0.533,0.318,-0.271,-0.471,0
0.537,0.314,-0.275,-0.475,0
0.542,0.31,-0.28,-0.48,0
0.548,0.306,-0.286,-0.486,0
0.554,0.302,-0.292,-0.492,0
0.562,0.298,-0.3,-0.5,0
0.57,0.294,-0.308,-0.508,0
0.579,0.29,-0.317,-0.517,0
0.578,0.286,-0.316,-0.516,1
0.566,0.282,-0.304,-0.504,1
0.554,0.278,-0.292,-0.492,1
0.542,0.274,-0.28,-0.48,1
0.53,0.27,-0.268,-0.468,1
0.518,0.266,-0.256,-0.456,0
0.507,0.262,-0.245,-0.445,0
0.497,0.258,-0.235,-0.435,0
0.487,0.254,-0.225,-0.425,0
0.479,0.25,-0.217,-0.417,0
0.471,0.246,-0.209,-0.409,0
0.464,0.242,-0.202,-0.402,0
0.458,0.238,-0.196,-0.396,0
0.452,0.234,-0.19,-0.39,0
0.448,0.23,-0.186,-0.386,0
0.444,0.226,-0.182,-0.382,0
0.441,0.222,-0.179,-0.379,0
0.439,0.218,-0.177,-0.377,0
0.437,0.214,-0.175,-0.375,0
0.431,0.21,-0.169,-0.369,1
0.419,0.206,-0.157,-0.357,1
0.407,0.202,-0.145,-0.345,1
0.395,0.198,-0.133,-0.333,1
0.383,0.194,-0.121,-0.321,1
0.371,0.19,-0.109,-0.309,1
0.359,0.186,-0.097,-0.297,1
0.347,0.182,-0.085,-0.285,1
0.335,0.178,-0.073,-0.273,1
0.323,0.174,-0.061,-0.261,1
0.311,0.17,-0.049,-0.249,1
0.299,0.166,-0.037,-0.237,0
0.288,0.162,-0.026,-0.226,0
0.278,0.158,-0.016,-0.216,0
0.268,0.154,-0.006,-0.206,0
0.26,0.15,0.002,-0.198,0
0.252,0.146,0.01,-0.19,0
0.245,0.142,0.017,-0.183,0
0.239,0.138,0.023,-0.177,0
0.233,0.134,0.029,-0.171,0
0.229,0.13,0.033,-0.167,0
0.221,0.126,0.041,-0.159,1
0.209,0.122,0.053,-0.147,1
0.197,0.118,0.065,-0.135,1
0.185,0.114,0.077,-0.123,1
0.173,0.11,0.089,-0.111,0
0.162,0.106,0.1,-0.1,0
0.152,0.102,0.11,-0.09,0
0.142,0.098,0.12,-0.08,0
0.134,0.094,0.128,-0.072,0
0.126,0.09,0.136,-0.064,0
0.119,0.086,0.143,-0.057,0
0.113,0.082,0.149,-0.051,0
0.107,0.078,0.155,-0.045,0
0.103,0.074,0.159,-0.041,0
0.099,0.07,0.163,-0.037,0
0.096,0.066,0.166,-0.034,0
0.094,0.062,0.168,-0.032,0
0.092,0.058,0.17,-0.03,0
0.092,0.054,0.17,-0.03,0
0.092,0.05,0.17,-0.03,0
0.093,0.046,0.169,-0.031,0
0.095,0.042,0.167,-0.033,0
0.097,0.038,0.165,-0.035,0
0.101,0.034,0.161,-0.039,0
0.105,0.03,0.157,-0.043,0
0.11,0.026,0.152,-0.048,0
0.116,0.022,0.146,-0.054,0
0.122,0.018,0.14,-0.06,0
0.13,0.014,0.132,-0.068,0
0.138,0.01,0.124,-0.076,0
0.147,0.006,0.115,-0.085,0
0.157,0.002,0.105,-0.095,0
0.167,0.39,0.349,0.149,0
0.179,0.386,0.337,0.137,0
0.191,0.382,0.325,0.125,0
0.204,0.378,0.312,0.112,0
0.218,0.374,0.298,0.098,0
0.232,0.37,0.284,0.084,0
0.248,0.366,0.268,0.068,0
0.264,0.362,0.252,0.052,0
0.281,0.358,0.235,0.035,0
0.299,0.354,0.217,0.017,0
0.317,0.35,0.199,-0.001,0
0.337,0.346,0.179,-0.021,0
0.357,0.342,0.159,-0.041,0
0.378,0.338,0.138,-0.062,0
0.4,0.334,0.116,-0.084,0
0.422,0.33,0.094,-0.106,0
0.446,0.326,0.07,-0.13,0
0.47,0.322,0.046,-0.154,0
0.495,0.318,0.021,-0.179,0
0.521,0.314,-0.005,-0.205,0
